col_names	OSS11A1.1.2019B	OSS11A1.2.2019B	OSS11A1.3.2019B	OSS21A1.1.2019	OSS21A1.2.2019	OSS21A1.3.2019	OSS21B1.1.2019	OSS21B1.2.2019	OSS21B1.3.2019	RIN34.1.2018	RIN34.2.2018	RIN34.3.2018	RIN35.1.2018	RIN35.2.2018	RIN35.3.2018	RIN36.1.2018	RIN37.1.2018	RIN39.1.2018	RIN39.2.2018	RIN39.3.2018	OSF43.1.2019	OSF43.2.2019	OSF43.3.2019	VFR05.1.2019	VFR05.2.2019	VFR05.3.2019	VFR32.1.2019	VFR32.2.2019	VFR32.3.2019	VFR33.1.2019	VFR33.2.2019	VFR33.3.2019	VFR34.1.2019	VFR34.2.2019	VFR34.3.2019	OSS11A1.1.2019A	OSS11A1.2.2019A	OSS11A1.3.2019A
PW19	51	15	9	0	18	50	0	0	5	4	37	30	35	52	25	9	17	47	70	76	22	47	46	59	49	51	3	7	15	10	7	15	27	23	20	188	53	10
TAGIRI-17	574	16	10	0	279	1016	0	0	0	5	121	172	124	137	346	104	14	130	235	232	220	798	385	433	287	124	20	2	0	4	0	6	69	26	48	1166	75	5
TAGIRI-15	309	204	81	15	102	246	1	9	26	137	218	249	198	257	223	167	330	441	330	288	111	209	198	268	178	216	257	130	154	243	156	184	99	96	67	286	244	71
D52	14	3	1	0	0	12	0	0	1	2	1	3	0	2	3	0	0	3	4	1	2	2	4	13	7	16	0	0	0	9	0	2	5	14	13	0	0	3
AI5F15RM1E10	0	2	0	0	4	8	0	0	2	0	1	0	3	1	3	0	1	4	2	4	2	3	3	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0
Thraustochytriaceae order incertae sedis	0	0	0	0	0	0	0	0	1	0	2	3	7	7	14	0	5	13	8	8	0	1	3	3	1	1	6	3	0	0	0	0	0	0	6	10	5	0
Bicosoecida	0	1	0	0	4	5	0	0	0	1	21	3	2	0	1	50	0	0	0	1	3	7	2	0	0	0	6	0	1	0	4	0	2	0	1	0	0	2
Hyphochytriales	310	51	8	1	100	268	1	0	0	9	46	224	286	298	741	0	10	80	92	84	46	145	143	432	318	247	24	6	13	15	15	44	134	81	177	415	110	14
LG21-05	14	12	2	7	8	10	0	2	1	3	11	7	8	5	16	372	22	5	9	24	7	15	151	27	38	13	0	5	1	0	3	10	9	7	9	77	0	12
I76	0	2	2	0	0	0	0	3	4	8	9	7	3	9	8	0	17	4	2	0	4	1	10	3	2	8	3	9	19	21	11	20	3	2	2	0	0	8
E222	167	112	127	36	111	79	3	32	41	50	105	48	86	148	107	19	334	50	34	89	63	105	196	198	207	286	393	483	464	450	312	358	247	338	271	173	103	155
Chattonellales	18	16	4	0	6	3	0	0	3	3	10	21	4	16	9	0	7	12	13	4	2	8	0	0	9	3	1	3	1	4	1	0	1	2	0	0	3	6
Flabellinia	5	0	0	0	0	0	1	0	0	1	2	0	0	2	2	44	0	4	4	5	37	73	119	4	2	0	10	0	0	0	0	0	4	0	9	1	1	0
Euamoebida	0	0	3	0	0	2	0	0	0	4	4	6	1	1	2	1	5	2	6	10	1	1	5	3	3	0	0	0	0	0	0	0	0	0	2	0	0	1
NAMAKO-2	0	13	40	25	40	0	0	1	0	3	0	0	0	0	0	0	5	0	0	0	3	3	5	0	0	0	5	3	0	0	0	0	1	0	0	0	0	28
Kalyptorhynchia	504	9037	10900	11	1571	262	0	0	0	0	0	0	0	11	3	0	0	198	250	0	4	19	1	24	2	4	0	1	0	0	0	0	2	0	4648	3641	0	0
Opheliidae	0	0	0	0	2	2	0	0	0	0	11	0	0	0	1	0	0	14	13	3	0	0	0	20	95	2	0	0	0	0	0	0	1	0	0	0	0	0
Basidiobolaceae	0	5	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	2	0	3	0	7	5	0	0	2	0	0	0	0	0	1	0	4	0	4	0
Acanthoecidae	0	10	1	0	8	9	0	0	0	1	3	1	1	2	2	79	0	0	0	1	1	6	9	4	1	0	0	0	0	0	0	0	4	0	0	0	0	10
Paramicrosporidium family incertae sedis	0	0	0	0	0	0	0	1	0	1	5	3	0	2	9	0	10	6	8	3	0	0	5	2	1	7	0	1	5	3	5	0	2	1	1	0	0	0
Rhinosporideacae	15	1	0	0	7	32	0	0	0	1	12	19	13	6	25	975	0	2	10	7	46	118	85	43	43	10	0	0	0	0	0	0	78	38	54	30	0	1
Lankesteria family incertae sedis	0	26	1	0	0	0	0	0	1	2	18	10	5	22	9	0	17	45	121	71	4	24	0	17	0	5	0	1	0	0	0	17	0	0	2	0	57	8
Suessiaceae	255	130	131	49	75	195	5	30	88	166	136	132	124	138	161	5	566	66	113	28	98	120	197	152	435	434	223	330	362	340	503	621	135	214	138	195	108	131
Sinophysis family incertae sedis	138	99	74	32	55	0	11	35	21	7	58	164	139	126	182	2	0	98	25	20	145	216	265	256	209	326	32	220	124	5	35	7	44	174	144	0	53	107
Chromera family incertae sedis	1	0	0	0	0	1	0	0	0	0	2	2	4	0	1	0	0	2	0	1	1	6	18	0	9	1	0	0	3	0	0	0	3	1	4	0	0	0
Amoebophrya family incertae sedis	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	4	0	0	3	1	0	4	2
Massisteria family incertae sedis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	5	4	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
NAMAKO-15	649	352	276	67	212	167	5	21	54	124	205	227	200	315	284	7	361	346	297	262	175	337	361	359	589	527	190	293	345	500	408	546	174	236	168	921	448	292
BB01-173	0	0	1	0	0	0	0	0	3	2	9	14	5	53	2	0	3	2	2	5	0	0	8	1	2	10	0	12	0	5	20	28	2	14	3	0	0	0
Pseudopirsonia family incertae sedis	1	9	0	0	0	0	0	0	0	2	1	2	3	3	4	0	0	0	0	1	1	5	0	2	1	0	0	0	0	12	0	0	4	0	0	0	0	0
Cyphoderiidae	0	0	0	0	5	29	0	0	0	0	43	15	6	21	13	355	0	1	1	5	45	15	66	0	41	2	0	0	0	0	0	1	15	0	8	0	0	1
Thaumatomonadidae	289	29	9	0	55	189	0	2	3	67	108	91	459	513	516	13	107	252	215	384	178	280	274	255	252	204	37	28	29	6	19	60	72	55	127	300	266	10
Peregriniidae	744	404	260	63	259	416	4	14	25	91	256	155	113	117	136	43	349	125	162	128	184	194	282	598	472	469	429	682	326	148	177	257	205	312	291	668	489	245
Metopion family incertae sedis	12	2	0	0	0	3	0	0	0	1	11	3	3	6	19	45	4	47	37	39	1	7	8	17	10	11	0	0	0	2	0	2	5	3	5	0	2	0
Vampyrellidae	0	0	0	0	3	4	0	0	0	4	8	7	3	5	5	0	1	1	5	8	2	10	8	3	2	1	0	2	0	1	1	0	9	2	5	18	0	0
Halodaphnea family incertae sedis	136	0	2	0	15	16	0	0	0	0	0	0	0	0	0	0	0	3	13	7	0	2	0	1	0	0	0	2	0	0	0	1	0	0	0	76	0	5
Rhizidiomyces family incertae sedis	0	6	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	9	1	9	2	9	7	8	5	5	17	5	0	0	0	0	0
Navicula family incertae sedis	1	10	1	0	0	38	0	0	0	1	6	0	3	2	15	10	0	2	4	5	19	28	11	3	3	2	0	0	0	0	0	0	4	2	7	0	4	0
Rhaphoneis family incertae sedis	1	7	0	0	2	0	0	0	1	4	9	0	0	0	3	0	8	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9
Bolidomonas family incertae sedis	7	18	16	2	13	0	1	7	4	12	17	14	18	21	23	0	32	25	9	10	14	10	21	14	20	14	55	43	33	16	24	18	3	15	24	0	5	8
Stygamoebida	0	4	1	0	0	11	0	0	0	0	21	2	1	3	3	12	0	0	0	0	19	35	13	3	4	2	2	3	0	11	7	0	21	0	12	0	0	1
Amastigomonas family incertae sedis	12	3	0	0	0	0	0	0	0	9	8	5	4	6	0	0	6	0	0	0	0	4	0	7	15	17	13	7	7	8	23	18	1	14	14	44	0	3
Lagenoeca	0	0	0	0	0	7	0	0	0	2	376	195	30	39	61	55	1	17	18	37	10	20	19	56	37	27	11	1	1	0	0	0	8	3	12	0	0	2
Stephanoeca	0	0	0	0	6	0	0	0	0	0	10	2	1	0	0	15	0	0	2	1	0	0	0	5	11	0	0	0	0	0	0	0	0	4	0	0	0	0
Diaphanoeca	0	0	0	0	0	8	0	0	0	0	26	2	6	4	14	94	1	1	1	5	9	12	6	5	4	0	28	0	0	0	0	0	1	0	1	0	0	1
Nuclearia	0	2	3	0	5	1	0	0	0	0	4	0	0	1	0	7	29	0	0	0	2	13	2	2	5	0	0	0	0	0	0	0	0	0	2	0	0	6
Andalucia	1	31	15	31	49	0	0	5	1	26	0	0	0	0	0	450	18	0	0	0	0	0	0	0	0	0	1357	13	0	0	0	12	19	22	18	0	0	10
Protodinium	51	168	152	73	110	15	2	33	65	169	164	164	82	136	65	1	353	9	15	10	19	46	59	33	62	120	204	266	292	247	187	297	74	81	60	139	0	146
Azadinium	10	0	4	0	0	0	0	0	1	0	4	11	8	13	5	0	0	4	4	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1
Sinophysis	0	41	31	1	122	0	0	4	16	15	101	160	84	227	220	57	0	15	109	28	27	60	30	43	73	63	65	55	1	4	26	4	0	22	47	4	0	15
Euplotes	1	1	0	0	0	4	0	0	0	0	2	1	1	0	5	0	0	1	0	1	3	0	3	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0
Aspidisca	0	26	18	14	19	3	0	0	0	2	4	0	0	0	0	3	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Holosticha	5	15	13	5	5	0	0	0	0	13	35	4	7	4	15	39	1	2	6	10	4	2	15	0	1	2	0	0	0	0	0	0	4	0	3	3	1	7
Protogastrostyla	0	0	0	0	0	26	0	0	0	12	244	77	101	203	134	78	0	126	206	405	6	11	14	27	5	12	0	0	0	0	0	1	25	3	25	0	0	1
Strombidinopsis	5	264	245	0	150	0	13	48	21	174	972	1922	788	627	790	462	0	1987	476	482	2	178	272	63	21	117	241	150	514	0	0	196	36	0	101	0	0	257
Pleuronema	2	29	12	21	11	12	0	0	0	0	5	0	1	0	2	0	0	1	1	4	0	0	2	0	0	1	0	0	0	0	0	0	4	0	0	0	0	8
Homalogastra	72	0	5	0	6	26	0	0	0	0	1	1	9	5	4	30	0	1	5	14	22	24	1	63	37	3	0	0	0	0	0	0	20	0	2	0	5	0
Cryptocaryon	3495	766	630	50	325	2194	6	4	5	212	142	66	39	48	21	3	18	61	6	35	366	1490	579	457	250	224	9	85	289	120	517	671	97	166	101	1505	601	1068
Amoebophrya	4	15	10	0	13	11	0	1	1	2	2	2	3	4	7	0	1	2	0	1	0	0	8	1	16	7	0	2	2	3	8	2	3	0	5	0	67	3
Duboscquella	5	21	7	0	11	2	0	1	0	5	10	20	16	65	31	10	8	35	19	9	11	7	27	9	6	11	0	3	10	2	0	0	7	2	2	0	16	15
Minorisa	0	0	0	0	0	2	0	0	0	0	0	0	2	0	6	0	0	0	2	3	1	0	2	4	3	0	0	0	0	0	0	0	1	0	0	0	0	0
Massisteria	0	6	2	2	2	0	0	1	0	61	13	1	2	3	1	32	60	2	0	1	10	14	15	4	3	0	24	5	1	0	0	0	8	2	11	0	0	3
Spongomonas	0	0	0	0	0	0	0	0	0	0	24	5	0	5	5	0	0	3	0	6	1	8	1	15	10	0	0	0	0	0	0	0	6	0	3	0	0	0
Pseudopirsonia	36	45	34	6	33	45	0	3	10	46	88	80	31	81	53	3	91	112	100	73	71	160	215	599	322	403	66	65	75	75	87	114	87	124	110	101	38	29
Nudifila	1411	400	195	40	222	660	0	14	59	2	3	8	5	0	3	0	21	0	0	2	286	281	399	351	769	505	250	885	568	756	929	1508	368	358	255	1102	1082	274
Cyphoderia	0	5	0	0	3	4	0	0	0	0	17	0	0	0	2	37	0	0	0	6	23	16	11	12	8	0	0	0	0	0	0	0	4	1	4	0	0	0
Thaumatomastix	32	0	0	0	0	2	0	0	0	0	0	4	0	13	1	0	2	2	5	0	2	4	1	3	3	1	0	0	0	0	0	0	11	10	11	26	0	0
Allas	76	20	23	3	7	10	0	0	0	12	12	25	15	25	31	0	0	16	8	14	15	25	16	31	23	21	0	5	0	0	0	0	6	12	15	0	22	12
Metopion	0	0	0	0	0	0	0	0	0	0	11	2	2	0	1	29	0	17	11	51	3	2	14	4	5	3	0	0	0	0	0	3	0	1	2	0	3	0
Cercomonas	55	7	0	2	4	4	0	0	0	3	6	8	10	18	46	0	30	37	45	32	7	14	23	83	49	31	0	1	1	1	14	0	6	15	14	14	13	4
Thraustochytrium	50	34	25	2	8	15	0	16	2	24	52	44	32	67	48	8	76	50	63	60	21	91	57	130	34	47	44	2	10	18	18	17	16	6	34	9	17	17
Aplanochytrium	7	0	0	0	3	54	0	0	0	0	0	0	0	0	5	4	0	3	14	2	3	6	3	3	5	0	0	0	0	0	0	2	0	0	0	0	3	0
Labyrinthuloides	15	20	19	4	20	10	0	2	5	12	33	27	45	74	45	32	36	174	158	73	32	75	60	242	153	115	24	25	50	74	57	54	59	68	86	46	23	22
Halodaphnea	0	0	0	26	0	0	0	0	0	0	0	0	0	38	0	0	0	3	396	26	16	0	0	0	29	7	6	8	0	2	6	0	1	0	0	0	0	0
Bicosoeca	0	5	4	0	0	1	0	0	0	0	5	0	0	0	5	42	0	0	0	0	7	8	18	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Navicula	69	189	182	18	137	99	0	0	0	117	547	82	116	105	392	119	8	54	125	434	276	517	496	203	104	65	84	5	4	0	6	15	130	21	78	183	5	227
Rhaphoneis	48	569	469	92	458	4	2	16	21	104	99	6	7	8	23	12	85	1	3	16	123	168	411	6	11	8	325	19	48	20	9	34	62	21	64	0	0	570
Bolidomonas	32	37	44	20	47	10	2	8	13	10	40	24	56	54	64	10	90	32	21	36	20	62	103	68	59	65	305	88	120	70	82	95	32	31	54	0	22	55
Paramoeba	1	3	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0
Vermistella	0	1	0	0	0	3	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	3	4	3	1	1	3	0	0	0	0	0	2	0	1	0	0	0
Palpitomonas	0	16	14	29	52	0	1	9	6	214	14	0	0	0	2	0	23	0	0	0	5	10	21	0	0	2	34	44	0	1	0	5	32	17	54	0	0	23
Amastigomonas	47	13	7	3	14	76	0	0	0	1	24	17	12	25	49	37	0	10	15	18	35	84	35	33	35	9	14	0	0	1	0	0	16	13	26	0	32	9
Subulatomonas	3	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	2	0	0	1	1	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0
Pirum gemmata	0	0	1	0	0	0	0	0	0	0	72	1	2	34	0	5	0	4	1	3	0	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1
Spirotrachelostyla tani	0	5	0	2	0	3	0	0	0	5	12	1	0	1	2	7	0	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Strombidium capitatum	6	265	114	109	158	0	15	47	79	27	117	63	57	8	31	0	147	143	82	0	79	455	391	150	202	241	587	421	578	495	1223	919	44	185	168	0	0	165
Strombidinopsis acuminata	10	0	11	0	3	1	0	0	0	14	122	173	123	514	77	0	0	35	45	146	67	163	36	235	154	123	0	0	1	0	0	0	36	41	49	28	0	60
Protocruzia adherens	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
Pseudopirsonia mucosa	7	6	0	0	0	6	0	0	0	0	1	3	1	9	6	0	0	6	9	3	0	0	0	3	1	1	0	0	0	0	0	0	0	0	1	70	5	0
Labyrinthuloides haliotidis	0	7	2	0	0	0	0	0	0	0	8	0	3	1	5	105	4	3	0	1	0	0	7	3	8	4	0	23	18	5	9	30	1	9	1	0	0	2
Bicosoeca kenaiensis	0	0	3	0	0	0	0	0	0	0	15	1	0	1	2	28	0	0	0	1	3	0	0	2	0	0	9	0	0	0	0	0	2	0	0	0	0	1
Amastigomonas mutabilis	29	20	16	0	8	33	0	0	0	24	104	50	133	172	100	135	103	903	494	393	48	93	150	197	112	276	54	12	21	10	0	34	72	60	68	189	23	14
Amastigomonas bermudensis	0	0	0	0	2	12	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	7	2	6	0	0	0	0	0	0	0	0	5	3	3	0	0	0
Apusomonas proboscidea	2	15	5	4	23	11	0	0	2	9	16	12	15	51	24	0	32	18	18	16	16	56	32	77	76	48	13	31	36	18	26	20	23	26	30	0	3	16
