Rank,Taxon,Taxonpath,Avg ab,Remove_unclass,Remove_all,Comment
Filasterea,kingdom,Opisthokonta;Filasterea,0.00%,TRUE,FALSE,
Ministeriida,phylum,Opisthokonta;Filasterea;Ministeriida,0.00%,FALSE,FALSE,
Capsasporidae,class,Opisthokonta;Filasterea;Ministeriida;Capsasporidae,0.00%,FALSE,FALSE,
AT4-11,order,Opisthokonta;Filasterea;Ministeriida;Capsasporidae;AT4-11,0.00%,FALSE,FALSE,
Marine Group,order,Opisthokonta;Filasterea;Ministeriida;Capsasporidae;Marine Group,0.00%,FALSE,FALSE,
Ministeridae,class,Opisthokonta;Filasterea;Ministeriida;Ministeridae,0.00%,FALSE,FALSE,
Ministeria order incertae sedis,order,Opisthokonta;Filasterea;Ministeriida;Ministeridae;Ministeria order incertae sedis,0.00%,FALSE,FALSE,
Ministeria family incertae sedis,family,Opisthokonta;Filasterea;Ministeriida;Ministeridae;Ministeria order incertae sedis;Ministeria family incertae sedis,0.00%,FALSE,FALSE,
Ministeria,genus,Opisthokonta;Filasterea;Ministeriida;Ministeridae;Ministeria order incertae sedis;Ministeria family incertae sedis;Ministeria,0.00%,FALSE,FALSE,
Ministeria vibrans,species,Opisthokonta;Filasterea;Ministeriida;Ministeridae;Ministeria order incertae sedis;Ministeria family incertae sedis;Ministeria;Ministeria vibrans,0.00%,FALSE,FALSE,
Freshwater Opisthokonta,kingdom,Opisthokonta;Freshwater Opisthokonta,0.03%,FALSE,FALSE,
Fungi,kingdom,Opisthokonta;Fungi,4.15%,FALSE,FALSE,
Ascomycota,phylum,Opisthokonta;Fungi;Ascomycota,0.04%,TRUE,FALSE,
Dothideomycetes,class,Opisthokonta;Fungi;Ascomycota;Dothideomycetes,0.00%,FALSE,FALSE,
Capnodiales,order,Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Capnodiales,0.00%,TRUE,TRUE,
Pleosporales,order,Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Pleosporales,0.00%,FALSE,FALSE,
Eurotiomycetes,class,Opisthokonta;Fungi;Ascomycota;Eurotiomycetes,0.00%,FALSE,FALSE,parasites
Arachnomycetales,order,Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Arachnomycetales,0.00%,FALSE,FALSE,
Chaetothyriales,order,Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales,0.00%,FALSE,FALSE,
Eurotiales,order,Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Eurotiales,0.00%,FALSE,FALSE,
Lecanoromycetes,class,Opisthokonta;Fungi;Ascomycota;Lecanoromycetes,0.00%,TRUE,TRUE,
Neolectomycetes,class,Opisthokonta;Fungi;Ascomycota;Neolectomycetes,0.00%,TRUE,TRUE,
Pezizomycetes,class,Opisthokonta;Fungi;Ascomycota;Pezizomycetes,0.00%,FALSE,FALSE,
Saccharomycetes,class,Opisthokonta;Fungi;Ascomycota;Saccharomycetes,0.01%,TRUE,TRUE,
Sordariomycetes,class,Opisthokonta;Fungi;Ascomycota;Sordariomycetes,0.02%,FALSE,FALSE,
Boliniales,order,Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Boliniales,0.00%,FALSE,FALSE,
Hypocreales,order,Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Hypocreales,0.00%,FALSE,FALSE,
Microascales,order,Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Microascales,0.01%,FALSE,FALSE,
Sordariales,order,Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Sordariales,0.00%,FALSE,FALSE,
Sordariomycetes incertae sedis,order,Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Sordariomycetes incertae sedis,0.00%,FALSE,FALSE,
Xylariales,order,Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Xylariales,0.00%,FALSE,FALSE,
Taphrinomycetes,class,Opisthokonta;Fungi;Ascomycota;Taphrinomycetes,0.00%,TRUE,TRUE,
Taphrinomycetes (Taphrinomycotina),class,Opisthokonta;Fungi;Ascomycota;Taphrinomycetes (Taphrinomycotina),0.00%,FALSE,FALSE,
Basidiobolaceae phylum incertae sedis,phylum,Opisthokonta;Fungi;Basidiobolaceae phylum incertae sedis,0.00%,FALSE,FALSE,
Basidiobolaceae class incertae sedis,class,Opisthokonta;Fungi;Basidiobolaceae phylum incertae sedis;Basidiobolaceae class incertae sedis,0.00%,FALSE,FALSE,
Basidiobolaceae order incertae sedis,order,Opisthokonta;Fungi;Basidiobolaceae phylum incertae sedis;Basidiobolaceae class incertae sedis;Basidiobolaceae order incertae sedis,0.00%,FALSE,FALSE,
Basidiobolaceae,family,Opisthokonta;Fungi;Basidiobolaceae phylum incertae sedis;Basidiobolaceae class incertae sedis;Basidiobolaceae order incertae sedis;Basidiobolaceae,0.00%,FALSE,FALSE,
Basidiomycota,phylum,Opisthokonta;Fungi;Basidiomycota,0.01%,TRUE,FALSE,
Agaricomycetes,class,Opisthokonta;Fungi;Basidiomycota;Agaricomycetes,0.00%,TRUE,FALSE,
Trechisporales,order,Opisthokonta;Fungi;Basidiomycota;Agaricomycetes;Trechisporales,0.00%,TRUE,TRUE,
Hydnodontaceae,family,Opisthokonta;Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae,0.00%,FALSE,FALSE,
Exobasidiomycetes,class,Opisthokonta;Fungi;Basidiomycota;Exobasidiomycetes,0.00%,FALSE,FALSE,
Exobasidiales,order,Opisthokonta;Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales,0.00%,FALSE,FALSE,
Malasseziales,order,Opisthokonta;Fungi;Basidiomycota;Exobasidiomycetes;Malasseziales,0.00%,FALSE,FALSE,
Malasseziales incertae sedis,family,Opisthokonta;Fungi;Basidiomycota;Exobasidiomycetes;Malasseziales;Malasseziales incertae sedis,0.00%,FALSE,FALSE,
Malassezia,genus,Opisthokonta;Fungi;Basidiomycota;Exobasidiomycetes;Malasseziales;Malasseziales incertae sedis;Malassezia,0.00%,FALSE,FALSE,
Microbotryomycetes,class,Opisthokonta;Fungi;Basidiomycota;Microbotryomycetes,0.00%,FALSE,FALSE,
Tremellomycetes,class,Opisthokonta;Fungi;Basidiomycota;Tremellomycetes,0.00%,FALSE,FALSE,
Cystofilobasidiales,order,Opisthokonta;Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales,0.00%,FALSE,FALSE,
Cystofilobasidiaceae,family,Opisthokonta;Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae,0.00%,FALSE,FALSE,
Tremellales,order,Opisthokonta;Fungi;Basidiomycota;Tremellomycetes;Tremellales,0.00%,FALSE,FALSE,
Ustilaginomycetes,class,Opisthokonta;Fungi;Basidiomycota;Ustilaginomycetes,0.00%,FALSE,FALSE,
Ustilaginales,order,Opisthokonta;Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales,0.00%,FALSE,FALSE,
Wallemiomycetes,class,Opisthokonta;Fungi;Basidiomycota;Wallemiomycetes,0.00%,TRUE,TRUE,
Blastocladiomycota,phylum,Opisthokonta;Fungi;Blastocladiomycota,0.00%,FALSE,FALSE,
Blastocladiomycetes,class,Opisthokonta;Fungi;Blastocladiomycota;Blastocladiomycetes,0.00%,FALSE,FALSE,
Blastocladiales,order,Opisthokonta;Fungi;Blastocladiomycota;Blastocladiomycetes;Blastocladiales,0.00%,FALSE,FALSE,
Chytridiomycota,phylum,Opisthokonta;Fungi;Chytridiomycota,1.52%,FALSE,FALSE,
Chytridiomycetes,class,Opisthokonta;Fungi;Chytridiomycota;Chytridiomycetes,1.52%,FALSE,FALSE,
Chytridiales,order,Opisthokonta;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales,0.77%,FALSE,FALSE,
Lobulomycetales,order,Opisthokonta;Fungi;Chytridiomycota;Chytridiomycetes;Lobulomycetales,0.01%,FALSE,FALSE,
Rhizophlyctidales,order,Opisthokonta;Fungi;Chytridiomycota;Chytridiomycetes;Rhizophlyctidales,0.00%,FALSE,FALSE,
Rhizophydiales,order,Opisthokonta;Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales,0.01%,FALSE,FALSE,
Spizellomycetales,order,Opisthokonta;Fungi;Chytridiomycota;Chytridiomycetes;Spizellomycetales,0.00%,FALSE,FALSE,
Monoblepharidomycetes,class,Opisthokonta;Fungi;Chytridiomycota;Monoblepharidomycetes,0.00%,FALSE,FALSE,
Monoblepharidales,order,Opisthokonta;Fungi;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales,0.00%,FALSE,FALSE,
Endogonales phylum incertae sedis,phylum,Opisthokonta;Fungi;Endogonales phylum incertae sedis,0.01%,TRUE,TRUE,
Glomeromycota,phylum,Opisthokonta;Fungi;Glomeromycota,0.00%,TRUE,TRUE,
Harpellales class incertae sedis,class,Opisthokonta;Fungi;Kickxellomycotina;Harpellales class incertae sedis,0.00%,FALSE,FALSE,
Mortirellales phylum incertae sedis,phylum,Opisthokonta;Fungi;Mortirellales phylum incertae sedis,0.00%,TRUE,TRUE,
Mucorales phylum incertae sedis,phylum,Opisthokonta;Fungi;Mucorales phylum incertae sedis,0.00%,FALSE,FALSE,
Mucorales class incertae sedis,class,Opisthokonta;Fungi;Mucorales phylum incertae sedis;Mucorales class incertae sedis,0.00%,FALSE,FALSE,
Mucorales,order,Opisthokonta;Fungi;Mucorales phylum incertae sedis;Mucorales class incertae sedis;Mucorales,0.00%,FALSE,FALSE,
Neocallimastigomycota,phylum,Opisthokonta;Fungi;Neocallimastigomycota,0.01%,TRUE,TRUE,
Zoopagomycotina,phylum,Opisthokonta;Fungi;Zoopagomycotina,0.01%,FALSE,FALSE,
Zoopagales class incertae sedis,class,Opisthokonta;Fungi;Zoopagomycotina;Zoopagales class incertae sedis,0.00%,FALSE,FALSE,
Zoopagales,order,Opisthokonta;Fungi;Zoopagomycotina;Zoopagales class incertae sedis;Zoopagales,0.00%,FALSE,FALSE,
Mesomycetozoa,kingdom,Opisthokonta;Mesomycetozoa,0.03%,FALSE,FALSE,
Abeoformidae,phylum,Opisthokonta;Mesomycetozoa;Abeoformidae,0.01%,FALSE,FALSE,
Abeoforma class incertae sedis,class,Opisthokonta;Mesomycetozoa;Abeoformidae;Abeoforma class incertae sedis,0.00%,TRUE,TRUE,
Pirum class incertae sedis,class,Opisthokonta;Mesomycetozoa;Abeoformidae;Pirum class incertae sedis,0.00%,FALSE,FALSE,
Pirum order incertae sedis,order,Opisthokonta;Mesomycetozoa;Abeoformidae;Pirum class incertae sedis;Pirum order incertae sedis,0.00%,FALSE,FALSE,
Pirum family incertae sedis,family,Opisthokonta;Mesomycetozoa;Abeoformidae;Pirum class incertae sedis;Pirum order incertae sedis;Pirum family incertae sedis,0.00%,FALSE,FALSE,
Pirum,genus,Opisthokonta;Mesomycetozoa;Abeoformidae;Pirum class incertae sedis;Pirum order incertae sedis;Pirum family incertae sedis;Pirum,0.00%,FALSE,FALSE,
Pirum gemmata,species,Opisthokonta;Mesomycetozoa;Abeoformidae;Pirum class incertae sedis;Pirum order incertae sedis;Pirum family incertae sedis;Pirum;Pirum gemmata,0.00%,FALSE,FALSE,
Ichthyophonidae,phylum,Opisthokonta;Mesomycetozoa;Ichthyophonidae,0.00%,FALSE,FALSE,parasitic
Freshwater Ichthyosporeans 1,class,Opisthokonta;Mesomycetozoa;Ichthyophonidae;Freshwater Ichthyosporeans 1,0.00%,FALSE,FALSE,
Pseudoperkinsidae,phylum,Opisthokonta;Mesomycetozoa;Pseudoperkinsidae,0.02%,FALSE,FALSE,
Mesomycetozoea,kingdom,Opisthokonta;Mesomycetozoea,0.02%,FALSE,FALSE,
Dermocystida phylum incertae sedis,phylum,Opisthokonta;Mesomycetozoea;Dermocystida phylum incertae sedis,0.02%,FALSE,FALSE,
Dermocystida class incertae sedis,class,Opisthokonta;Mesomycetozoea;Dermocystida phylum incertae sedis;Dermocystida class incertae sedis,0.02%,FALSE,FALSE,
Dermocystida,order,Opisthokonta;Mesomycetozoea;Dermocystida phylum incertae sedis;Dermocystida class incertae sedis;Dermocystida,0.02%,FALSE,FALSE,
Rhinosporideacae,family,Opisthokonta;Mesomycetozoea;Dermocystida phylum incertae sedis;Dermocystida class incertae sedis;Dermocystida;Rhinosporideacae,0.02%,FALSE,FALSE,parasitic
Metazoa (Animalia),kingdom,Opisthokonta;Metazoa (Animalia),30.59%,FALSE,FALSE,
Annelida,phylum,Opisthokonta;Metazoa (Animalia);Annelida,6.58%,FALSE,FALSE,
Oligochaeta order incertae sedis,class,Opisthokonta;Metazoa (Animalia);Annelida;Oligochaeta order incertae sedis,0.00%,FALSE,FALSE,
Haplotaxida,order,Opisthokonta;Metazoa (Animalia);Annelida;Oligochaeta order incertae sedis;Haplotaxida,0.00%,FALSE,FALSE,
Polychaeta,class,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta,6.57%,FALSE,FALSE,
Capitellida,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Capitellida,0.18%,FALSE,FALSE,
Dinophilida,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Dinophilida,0.00%,FALSE,FALSE,
Echiuroinea,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Echiuroinea,0.00%,FALSE,FALSE,
Eunicida,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Eunicida,0.17%,FALSE,FALSE,
Flabelligerida,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Flabelligerida,0.00%,FALSE,FALSE,
Golfingiida,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Golfingiida,0.11%,FALSE,FALSE,
Opheliidae order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Opheliidae order incertae sedis,0.02%,FALSE,FALSE,
Opheliidae,family,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Opheliidae order incertae sedis;Opheliidae,0.02%,FALSE,FALSE,
Orbiniidae order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Orbiniidae order incertae sedis,0.02%,FALSE,FALSE,
Orbiniidae,family,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Orbiniidae order incertae sedis;Orbiniidae,0.02%,FALSE,FALSE,
Palpata Incertae Sedis,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Palpata Incertae Sedis,0.00%,FALSE,FALSE,
Paraonidae order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Paraonidae order incertae sedis,0.20%,FALSE,FALSE,
Paraonidae,family,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Paraonidae order incertae sedis;Paraonidae,0.20%,FALSE,FALSE,
Phyllodocida,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Phyllodocida,2.45%,FALSE,FALSE,
Protodrilus order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Protodrilus order incertae sedis,0.00%,FALSE,FALSE,
Sabellida,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Sabellida,1.64%,FALSE,FALSE,
Spionida,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Spionida,1.56%,FALSE,FALSE,
Terebellida,order,Opisthokonta;Metazoa (Animalia);Annelida;Polychaeta;Terebellida,0.09%,FALSE,FALSE,
Arthropoda,phylum,Opisthokonta;Metazoa (Animalia);Arthropoda,6.80%,FALSE,FALSE,
Branchiopoda,class,Opisthokonta;Metazoa (Animalia);Arthropoda;Branchiopoda,0.08%,FALSE,FALSE,
Diplostraca,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Branchiopoda;Diplostraca,0.00%,FALSE,FALSE,
Malacostraca,class,Opisthokonta;Metazoa (Animalia);Arthropoda;Malacostraca,0.32%,FALSE,FALSE,
Eucarida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Malacostraca;Eucarida,0.31%,FALSE,FALSE,
Eumalacostraca,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Malacostraca;Eumalacostraca,0.00%,FALSE,FALSE,
Peracarida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Malacostraca;Peracarida,0.01%,FALSE,FALSE,
Maxillopoda,class,Opisthokonta;Metazoa (Animalia);Arthropoda;Maxillopoda,5.74%,FALSE,FALSE,
Calanoida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Maxillopoda;Calanoida,4.90%,TRUE,TRUE,
Cyclopoida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Maxillopoda;Cyclopoida,0.00%,TRUE,TRUE,
Harpacticoida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Maxillopoda;Harpacticoida,0.79%,FALSE,FALSE,
Monstrilloida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Maxillopoda;Monstrilloida,0.00%,FALSE,FALSE,
Sessilia,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Maxillopoda;Sessilia,0.00%,FALSE,FALSE,
Siphonostomatoida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Maxillopoda;Siphonostomatoida,0.00%,TRUE,TRUE,Fish parasites
Tantulocarida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Maxillopoda;Tantulocarida,0.00%,FALSE,FALSE,Parasites of other copepods
Ostracoda,class,Opisthokonta;Metazoa (Animalia);Arthropoda;Ostracoda,0.66%,FALSE,FALSE,
Halocyprida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Ostracoda;Halocyprida,0.35%,TRUE,TRUE,Mainly plankton
Myodocopida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Ostracoda;Myodocopida,0.00%,FALSE,FALSE,
Podocopida,order,Opisthokonta;Metazoa (Animalia);Arthropoda;Ostracoda;Podocopida,0.16%,FALSE,FALSE,
Brachiopoda,phylum,Opisthokonta;Metazoa (Animalia);Brachiopoda,0.10%,FALSE,FALSE,
Phoroniformea,class,Opisthokonta;Metazoa (Animalia);Brachiopoda;Phoroniformea,0.10%,FALSE,FALSE,
Rhynchonellata,class,Opisthokonta;Metazoa (Animalia);Brachiopoda;Rhynchonellata,0.00%,FALSE,FALSE,
Terebratulida,order,Opisthokonta;Metazoa (Animalia);Brachiopoda;Rhynchonellata;Terebratulida,0.00%,FALSE,FALSE,
Bryozoa,phylum,Opisthokonta;Metazoa (Animalia);Bryozoa,0.17%,FALSE,FALSE,
Gymnolaemata,class,Opisthokonta;Metazoa (Animalia);Bryozoa;Gymnolaemata,0.03%,FALSE,FALSE,
Cheilostomatida,order,Opisthokonta;Metazoa (Animalia);Bryozoa;Gymnolaemata;Cheilostomatida,0.02%,FALSE,FALSE,
Ctenostomatida,order,Opisthokonta;Metazoa (Animalia);Bryozoa;Gymnolaemata;Ctenostomatida,0.00%,FALSE,FALSE,
Stenolaemata,class,Opisthokonta;Metazoa (Animalia);Bryozoa;Stenolaemata,0.14%,FALSE,FALSE,
Cyclostomatida,order,Opisthokonta;Metazoa (Animalia);Bryozoa;Stenolaemata;Cyclostomatida,0.14%,FALSE,FALSE,
Tubuliporida,order,Opisthokonta;Metazoa (Animalia);Bryozoa;Stenolaemata;Tubuliporida,0.00%,FALSE,FALSE,
Chaetognatha,phylum,Opisthokonta;Metazoa (Animalia);Chaetognatha,0.00%,FALSE,FALSE,
Sagittoidea,class,Opisthokonta;Metazoa (Animalia);Chaetognatha;Sagittoidea,0.00%,FALSE,FALSE,
Aphragmophora,order,Opisthokonta;Metazoa (Animalia);Chaetognatha;Sagittoidea;Aphragmophora,0.00%,FALSE,FALSE,
Phragmophora,order,Opisthokonta;Metazoa (Animalia);Chaetognatha;Sagittoidea;Phragmophora,0.00%,FALSE,FALSE,
Chordata,phylum,Opisthokonta;Metazoa (Animalia);Chordata,0.21%,FALSE,FALSE,
Appendicularia class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Chordata;Appendicularia class incertae sedis,0.00%,TRUE,TRUE,
Ascidiacea,class,Opisthokonta;Metazoa (Animalia);Chordata;Ascidiacea,0.21%,FALSE,FALSE,
Enterogona,order,Opisthokonta;Metazoa (Animalia);Chordata;Ascidiacea;Enterogona,0.00%,FALSE,FALSE,
Stolidobranchia,order,Opisthokonta;Metazoa (Animalia);Chordata;Ascidiacea;Stolidobranchia,0.05%,FALSE,FALSE,
Thaliacea,class,Opisthokonta;Metazoa (Animalia);Chordata;Thaliacea,0.00%,FALSE,FALSE,
Salpida,order,Opisthokonta;Metazoa (Animalia);Chordata;Thaliacea;Salpida,0.00%,FALSE,FALSE,
Cnidaria,phylum,Opisthokonta;Metazoa (Animalia);Cnidaria,0.47%,TRUE,FALSE,
Anthozoa,class,Opisthokonta;Metazoa (Animalia);Cnidaria;Anthozoa,0.33%,FALSE,FALSE,
Actiniaria (Anthozoa),order,Opisthokonta;Metazoa (Animalia);Cnidaria;Anthozoa;Actiniaria (Anthozoa),0.08%,FALSE,FALSE,
Alcyonacea,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Anthozoa;Alcyonacea,0.00%,FALSE,FALSE,
Ceriantharia,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Anthozoa;Ceriantharia,0.16%,FALSE,FALSE,Tube dwelling anemone
Pennatulacea,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Anthozoa;Pennatulacea,0.00%,FALSE,FALSE,
Zoantharia,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Anthozoa;Zoantharia,0.00%,FALSE,FALSE,
Hydrozoa,class,Opisthokonta;Metazoa (Animalia);Cnidaria;Hydrozoa,0.14%,FALSE,FALSE,
Anthoathecata,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Hydrozoa;Anthoathecata,0.09%,FALSE,FALSE,
Leptothecata,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Hydrozoa;Leptothecata,0.02%,FALSE,FALSE,
Limnomedusae,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Hydrozoa;Limnomedusae,0.00%,FALSE,FALSE,
Narcomedusae (Hydrozoa),order,Opisthokonta;Metazoa (Animalia);Cnidaria;Hydrozoa;Narcomedusae (Hydrozoa),0.00%,FALSE,FALSE,
Siphonophorae,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Hydrozoa;Siphonophorae,0.01%,FALSE,FALSE,
Trachymedusae,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Hydrozoa;Trachymedusae,0.00%,FALSE,FALSE,
Myxosporea,class,Opisthokonta;Metazoa (Animalia);Cnidaria;Myxosporea,0.00%,FALSE,FALSE,
Bivalvulida,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Myxosporea;Bivalvulida,0.00%,FALSE,FALSE,
Scyphozoa,class,Opisthokonta;Metazoa (Animalia);Cnidaria;Scyphozoa,0.01%,FALSE,FALSE,
Coronatae,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Scyphozoa;Coronatae,0.00%,FALSE,FALSE,
Semaeostomeae,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Scyphozoa;Semaeostomeae,0.00%,FALSE,FALSE,
Stauromedusae,order,Opisthokonta;Metazoa (Animalia);Cnidaria;Scyphozoa;Stauromedusae,0.00%,FALSE,FALSE,
Ctenophora,phylum,Opisthokonta;Metazoa (Animalia);Ctenophora,0.00%,FALSE,FALSE,
Typhlocoela,class,Opisthokonta;Metazoa (Animalia);Ctenophora;Typhlocoela,0.00%,FALSE,FALSE,
Cydippida,order,Opisthokonta;Metazoa (Animalia);Ctenophora;Typhlocoela;Cydippida,0.00%,FALSE,FALSE,
Echinodermata,phylum,Opisthokonta;Metazoa (Animalia);Echinodermata,0.84%,FALSE,FALSE,
Asteroidea,class,Opisthokonta;Metazoa (Animalia);Echinodermata;Asteroidea,0.00%,FALSE,FALSE,
Echinoidea,class,Opisthokonta;Metazoa (Animalia);Echinodermata;Echinoidea,0.64%,FALSE,FALSE,
Holothuroidea,class,Opisthokonta;Metazoa (Animalia);Echinodermata;Holothuroidea,0.16%,FALSE,FALSE,
Ophiuroidea,class,Opisthokonta;Metazoa (Animalia);Echinodermata;Ophiuroidea,0.03%,FALSE,FALSE,
Entoprocta,phylum,Opisthokonta;Metazoa (Animalia);Entoprocta,0.01%,FALSE,FALSE,
Coloniales class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Entoprocta;Coloniales class incertae sedis,0.01%,FALSE,FALSE,
Coloniales,order,Opisthokonta;Metazoa (Animalia);Entoprocta;Coloniales class incertae sedis;Coloniales,0.01%,FALSE,FALSE,
Barentsiidae,family,Opisthokonta;Metazoa (Animalia);Entoprocta;Coloniales class incertae sedis;Coloniales;Barentsiidae,0.01%,FALSE,FALSE,
Gastrotricha,phylum,Opisthokonta;Metazoa (Animalia);Gastrotricha,0.12%,FALSE,FALSE,
Chaetonotida class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Gastrotricha;Chaetonotida class incertae sedis,0.07%,FALSE,FALSE,
Chaetonotida,order,Opisthokonta;Metazoa (Animalia);Gastrotricha;Chaetonotida class incertae sedis;Chaetonotida,0.07%,FALSE,FALSE,
Macrodasyida class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Gastrotricha;Macrodasyida class incertae sedis,0.05%,FALSE,FALSE,
Macrodasyida,order,Opisthokonta;Metazoa (Animalia);Gastrotricha;Macrodasyida class incertae sedis;Macrodasyida,0.05%,FALSE,FALSE,
Dactylopodolidae,family,Opisthokonta;Metazoa (Animalia);Gastrotricha;Macrodasyida class incertae sedis;Macrodasyida;Dactylopodolidae,0.00%,FALSE,FALSE,
Gnathostomulida,phylum,Opisthokonta;Metazoa (Animalia);Gnathostomulida,0.00%,FALSE,FALSE,
Bursovaginoidea class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Gnathostomulida;Bursovaginoidea class incertae sedis,0.00%,FALSE,FALSE,
Bursovaginoidea,order,Opisthokonta;Metazoa (Animalia);Gnathostomulida;Bursovaginoidea class incertae sedis;Bursovaginoidea,0.00%,FALSE,FALSE,
Hemichordata,phylum,Opisthokonta;Metazoa (Animalia);Hemichordata,0.06%,FALSE,FALSE,
Enteropneusta,class,Opisthokonta;Metazoa (Animalia);Hemichordata;Enteropneusta,0.06%,FALSE,FALSE,
Harrimaniidae order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Hemichordata;Enteropneusta;Harrimaniidae order incertae sedis,0.06%,FALSE,FALSE,
Harrimaniidae,family,Opisthokonta;Metazoa (Animalia);Hemichordata;Enteropneusta;Harrimaniidae order incertae sedis;Harrimaniidae,0.04%,FALSE,FALSE,
Ptychoderidae order incertae sedis,order,Opisthokonta;Metazoa (Animalia);Hemichordata;Enteropneusta;Ptychoderidae order incertae sedis,0.00%,FALSE,FALSE,
Ptychoderidae,family,Opisthokonta;Metazoa (Animalia);Hemichordata;Enteropneusta;Ptychoderidae order incertae sedis;Ptychoderidae,0.00%,FALSE,FALSE,
Kinorhyncha,phylum,Opisthokonta;Metazoa (Animalia);Kinorhyncha,0.00%,FALSE,FALSE,
Cyclorhagida class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Kinorhyncha;Cyclorhagida class incertae sedis,0.00%,FALSE,FALSE,
Cyclorhagida,order,Opisthokonta;Metazoa (Animalia);Kinorhyncha;Cyclorhagida class incertae sedis;Cyclorhagida,0.00%,FALSE,FALSE,
Homalorhagida class incertae sedis,class,Opisthokonta;Metazoa (Animalia);Kinorhyncha;Homalorhagida class incertae sedis,0.00%,FALSE,FALSE,
Homalorhagida,order,Opisthokonta;Metazoa (Animalia);Kinorhyncha;Homalorhagida class incertae sedis;Homalorhagida,0.00%,FALSE,FALSE,
Loricifera,phylum,Opisthokonta;Metazoa (Animalia);Loricifera,0.01%,FALSE,FALSE,
